iter	Passed	Remaining
0	1	142
1	2	127
2	3	116
3	4	110
4	5	105
5	6	103
6	7	101
7	8	99
8	9	97
9	10	94
10	11	92
11	12	90
12	13	89
13	14	87
14	15	86
15	16	85
16	17	84
17	18	82
18	19	81
19	19	79
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	35	61
37	37	60
38	37	59
39	38	58
40	39	57
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	45
53	51	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
