iter	Passed	Remaining
0	138	138430
1	140	69923
2	141	46995
3	144	35872
4	145	29010
5	147	24414
6	148	21133
7	150	18659
8	151	16714
9	153	15177
10	154	13923
11	156	12886
12	158	12034
13	159	11265
14	161	10583
15	162	10017
16	164	9506
17	165	9050
18	167	8638
19	168	8262
20	169	7923
21	172	7667
22	174	7392
23	175	7134
24	176	6894
25	178	6679
26	179	6474
27	181	6288
28	182	6110
29	183	5944
30	186	5841
31	188	5692
32	189	5561
33	191	5429
34	192	5308
35	193	5188
36	195	5075
37	196	4969
38	197	4873
39	199	4778
40	201	4703
41	202	4620
42	204	4544
43	205	4469
44	207	4398
45	208	4328
46	210	4260
47	211	4197
48	213	4136
49	215	4098
50	217	4042
51	218	3990
52	220	3937
53	221	3885
54	223	3841
55	225	3793
56	226	3748
57	229	3721
58	230	3681
59	232	3636
60	233	3593
61	235	3555
62	236	3519
63	238	3483
64	239	3450
65	241	3415
66	243	3396
67	246	3380
68	247	3346
69	250	3321
70	252	3298
71	253	3271
72	255	3246
73	259	3248
74	261	3221
75	262	3196
76	264	3169
77	266	3144
78	267	3120
79	269	3101
80	271	3075
81	274	3069
82	275	3040
83	276	3020
84	278	2998
85	279	2974
86	281	2952
87	282	2931
88	284	2912
89	286	2894
90	288	2884
91	290	2864
92	291	2843
93	292	2823
94	294	2804
95	295	2785
96	297	2766
97	298	2748
98	300	2731
99	302	2724
100	304	2708
101	305	2690
102	306	2672
103	308	2656
104	309	2640
105	312	2639
106	315	2632
107	319	2642
108	321	2631
109	323	2617
110	325	2605
111	326	2591
112	329	2582
113	330	2570
114	332	2559
115	333	2544
116	335	2528
117	336	2513
118	337	2501
119	339	2487
120	340	2473
121	341	2457
122	343	2446
123	344	2435
124	347	2434
125	349	2421
126	350	2407
127	351	2394
128	352	2382
129	354	2370
130	355	2358
131	356	2346
132	358	2335
133	359	2323
134	362	2320
135	363	2311
136	365	2300
137	366	2290
138	368	2280
139	369	2269
140	370	2259
141	371	2247
142	373	2237
143	374	2227
144	376	2222
145	378	2212
146	379	2202
147	380	2191
148	382	2182
149	383	2173
150	384	2163
151	386	2153
152	387	2143
153	388	2133
154	389	2123
155	392	2123
156	394	2115
157	395	2107
158	396	2099
159	398	2089
160	398	2078
161	400	2069
162	401	2062
163	402	2054
164	404	2045
165	405	2036
166	408	2035
167	409	2027
168	410	2019
169	412	2012
170	413	2004
171	414	1996
172	416	1988
173	417	1981
174	418	1973
175	420	1966
176	422	1963
177	423	1955
178	425	1949
179	426	1943
180	428	1939
181	430	1932
182	431	1926
183	432	1919
184	434	1912
185	435	1905
186	437	1901
187	438	1895
188	440	1888
189	441	1881
190	442	1874
191	443	1867
192	445	1860
193	446	1855
194	447	1848
195	449	1841
196	452	1842
197	453	1837
198	455	1832
199	456	1827
200	458	1822
201	459	1816
202	461	1810
203	462	1804
204	463	1798
205	464	1792
206	467	1791
207	469	1786
208	470	1780
209	471	1774
210	472	1768
211	474	1762
212	475	1756
213	476	1750
214	477	1744
215	478	1738
216	480	1732
217	482	1731
218	484	1726
219	485	1722
220	487	1717
221	489	1716
222	491	1712
223	493	1708
224	494	1703
225	496	1699
226	497	1695
227	499	1689
228	500	1684
229	501	1678
230	502	1674
231	504	1669
232	506	1665
233	507	1662
234	509	1659
235	511	1656
236	513	1651
237	514	1647
238	515	1642
239	517	1638
240	518	1634
241	520	1630
242	522	1627
243	524	1625
244	527	1626
245	529	1623
246	531	1621
247	534	1620
248	538	1625
249	546	1640
250	549	1640
251	553	1642
252	556	1642
253	557	1638
254	559	1634
255	560	1629
256	562	1625
257	563	1621
258	565	1617
259	566	1613
260	568	1608
261	570	1606
262	571	1602
263	573	1598
264	574	1594
265	576	1589
266	577	1585
267	578	1580
268	580	1577
269	581	1573
270	583	1568
271	584	1565
272	586	1562
273	588	1558
274	590	1555
275	591	1551
276	593	1547
277	594	1543
278	595	1539
279	597	1536
280	599	1533
281	600	1530
282	602	1527
283	606	1527
284	607	1524
285	608	1520
286	610	1516
287	611	1512
288	613	1508
289	615	1507
290	617	1504
291	619	1501
292	621	1498
293	622	1494
294	624	1491
295	625	1488
296	626	1483
297	628	1480
298	631	1480
299	633	1479
300	635	1475
301	637	1472
302	638	1469
303	640	1465
304	641	1461
305	642	1457
306	644	1454
307	646	1453
308	648	1450
309	650	1447
310	651	1444
311	653	1441
312	655	1438
313	656	1434
314	658	1431
315	660	1430
316	662	1427
317	663	1423
318	664	1419
319	666	1416
320	667	1412
321	669	1408
322	670	1404
323	671	1401
324	673	1397
325	675	1397
326	677	1393
327	678	1389
328	679	1386
329	681	1382
330	682	1379
331	683	1375
332	684	1371
333	685	1367
334	687	1364
335	688	1360
336	690	1358
337	691	1355
338	693	1351
339	694	1348
340	696	1345
341	697	1341
342	698	1337
343	699	1334
344	700	1330
345	702	1326
346	703	1323
347	705	1321
348	706	1318
349	708	1315
350	709	1311
351	710	1308
352	711	1304
353	712	1300
354	713	1297
355	715	1293
356	716	1290
357	717	1286
358	719	1285
359	721	1282
360	722	1279
361	724	1276
362	725	1273
363	726	1269
364	727	1266
365	729	1263
366	730	1259
367	731	1256
368	732	1252
369	735	1251
370	736	1248
371	737	1245
372	739	1242
373	740	1239
374	742	1236
375	743	1233
376	744	1230
377	745	1226
378	746	1223
379	748	1220
380	750	1219
381	751	1216
382	753	1213
383	754	1210
384	755	1207
385	756	1204
386	758	1201
387	760	1200
388	762	1197
389	767	1200
390	769	1198
391	771	1196
392	773	1194
393	774	1191
394	776	1189
395	779	1189
396	782	1188
397	783	1184
398	784	1182
399	786	1179
400	787	1176
401	788	1173
402	789	1170
403	791	1167
404	792	1164
405	794	1163
406	796	1160
407	797	1157
408	799	1154
409	800	1151
410	801	1149
411	803	1146
412	804	1144
413	806	1141
414	808	1140
415	810	1137
416	812	1135
417	813	1132
418	815	1130
419	816	1127
420	817	1124
421	819	1122
422	820	1119
423	822	1117
424	825	1116
425	826	1114
426	828	1111
427	829	1109
428	831	1106
429	832	1103
430	834	1101
431	836	1099
432	839	1099
433	840	1096
434	843	1094
435	845	1093
436	847	1092
437	849	1090
438	852	1089
439	856	1090
440	858	1088
441	860	1086
442	862	1084
443	864	1082
444	866	1081
445	870	1080
446	871	1078
447	873	1076
448	874	1073
449	876	1071
450	877	1068
451	879	1065
452	886	1069
453	887	1067
454	889	1065
455	891	1063
456	896	1064
457	897	1062
458	899	1060
459	901	1058
460	903	1056
461	904	1053
462	905	1050
463	907	1048
464	908	1045
465	909	1042
