iter	Passed	Remaining
0	139	139580
1	140	70345
2	141	47178
3	143	35619
4	144	28684
5	145	24072
6	146	20756
7	147	18268
8	148	16310
9	148	14741
10	149	13475
11	150	12408
12	151	11508
13	152	10745
14	153	10075
15	154	9510
16	155	9009
17	156	8553
18	157	8146
19	158	7776
20	159	7443
21	160	7141
22	161	6865
23	162	6616
24	163	6377
25	164	6155
26	165	5952
27	166	5763
28	166	5588
29	167	5425
30	168	5271
31	169	5128
32	170	4995
33	171	4869
34	172	4749
35	173	4636
36	174	4530
37	175	4430
38	175	4334
39	176	4244
40	178	4165
41	178	4082
42	179	4001
43	180	3926
44	181	3855
45	182	3785
46	183	3718
47	184	3652
48	185	3590
49	185	3532
50	186	3474
51	187	3420
52	188	3368
53	189	3317
54	190	3269
55	191	3222
56	191	3175
57	192	3132
58	193	3090
59	194	3048
60	195	3008
61	196	2970
62	197	2933
63	198	2895
64	198	2861
65	199	2827
66	200	2794
67	201	2762
68	202	2731
69	203	2701
70	204	2671
71	204	2642
72	205	2614
73	206	2587
74	207	2560
75	208	2535
76	209	2510
77	210	2485
78	211	2461
79	211	2437
80	212	2415
81	213	2393
82	214	2366
83	214	2343
84	215	2323
85	216	2303
86	218	2289
87	219	2272
88	220	2255
89	221	2237
90	222	2221
91	223	2204
92	224	2190
93	225	2175
94	226	2158
95	227	2142
96	228	2126
97	229	2111
98	230	2095
99	231	2080
100	231	2064
101	232	2049
102	234	2039
103	235	2025
104	235	2011
105	237	1999
106	238	1988
107	239	1975
108	240	1963
109	241	1950
110	241	1937
111	242	1923
112	243	1911
113	244	1898
114	245	1886
115	246	1875
116	246	1863
117	247	1852
118	248	1842
119	249	1832
120	250	1822
121	251	1813
122	252	1803
123	253	1794
124	254	1783
125	255	1774
126	256	1763
127	257	1754
128	258	1745
129	259	1735
130	260	1726
131	261	1717
132	262	1708
133	263	1700
134	264	1692
135	265	1683
136	265	1675
137	266	1667
138	268	1660
139	269	1652
140	269	1644
141	270	1635
142	271	1627
143	272	1620
144	273	1612
145	274	1605
146	275	1598
147	276	1590
148	277	1583
149	278	1575
150	279	1568
151	279	1561
152	280	1554
153	281	1548
154	282	1541
155	283	1534
156	284	1528
157	285	1522
158	286	1515
159	287	1509
160	288	1501
161	289	1495
162	290	1489
163	291	1483
164	291	1476
165	292	1470
166	293	1464
167	294	1458
168	295	1452
169	296	1446
170	297	1440
171	298	1434
172	299	1430
173	300	1424
174	301	1419
175	302	1414
176	303	1410
177	304	1405
178	305	1399
179	306	1394
180	306	1388
181	308	1384
182	309	1379
183	309	1374
184	310	1369
185	312	1365
186	313	1361
187	314	1357
188	315	1352
189	316	1349
190	317	1345
191	318	1340
192	319	1335
193	320	1331
194	321	1327
195	322	1324
196	323	1320
197	324	1315
198	326	1312
199	327	1308
200	328	1304
201	329	1299
202	329	1295
203	330	1291
204	331	1287
205	332	1282
206	333	1278
207	334	1274
208	335	1270
209	337	1268
210	338	1264
211	339	1260
212	340	1257
213	341	1255
214	342	1251
215	343	1247
216	344	1243
217	345	1239
218	346	1236
219	347	1232
220	348	1228
221	349	1224
222	350	1220
223	351	1216
224	352	1212
225	352	1208
226	353	1205
227	354	1201
228	356	1198
229	356	1194
230	357	1191
231	358	1188
232	359	1184
233	360	1180
234	361	1177
235	362	1173
236	363	1169
237	364	1166
238	365	1163
239	366	1160
240	367	1157
241	368	1155
242	370	1155
243	372	1153
244	373	1150
245	374	1147
246	375	1144
247	376	1141
248	377	1138
249	378	1135
250	379	1132
251	380	1128
252	381	1125
253	382	1122
254	382	1118
255	383	1115
256	385	1113
257	386	1110
258	387	1107
259	387	1104
260	388	1101
261	389	1097
262	390	1094
263	391	1091
264	392	1088
265	393	1085
266	394	1082
267	395	1079
268	396	1076
